Year/Month,SMA Pig Meat Price,WMA Pig Meat Price,EMA Pig Meat Price,Pig Meat Price (1 month before),Pig Meat Price (2 month before),Pig Meat Price (3 month before),Pig Meat Price
2013/04,1.933498666666667,1.9784986666666668,2.013981375,2.079355,1.911786,1.809355,2.058
2013/05,2.016380333333333,2.0407493333333333,2.0561841875,2.058,2.079355,1.911786,2.098387
2013/06,2.0785806666666664,2.0817526666666666,2.0730920937499997,2.098387,2.058,2.079355,2.09
2013/07,2.0821289999999997,2.0874623333333333,2.0838040468749996,2.09,2.098387,2.058,2.094516
2013/08,2.0943009999999997,2.093655833333333,2.0889990234374998,2.094516,2.09,2.098387,2.094194
2013/09,2.0929033333333336,2.093602333333333,2.09449951171875,2.094194,2.094516,2.09,2.1
2013/10,2.0962366666666665,2.097150666666667,2.065798255859375,2.1,2.094194,2.094516,2.037097
2013/11,2.0770969999999997,2.0675808333333334,2.0065656279296875,2.037097,2.1,2.094194,1.947333
2013/12,2.028143333333334,2.002698833333333,1.9542503139648437,1.947333,2.037097,2.1,1.901935
2014/01,1.9621216666666665,1.9395946666666666,1.931750906982422,1.901935,1.947333,2.037097,1.9092515
2014/02,1.9195065,1.9131595833333332,1.950875453491211,1.9092515,1.901935,1.947333,1.97
2014/03,1.9270621666666665,1.9384063333333332,1.9628572267456055,1.97,1.9092515,1.901935,1.974839
2014/04,1.9513635,1.9622947499999999,1.9834286133728027,1.974839,1.97,1.9092515,2.004
2014/05,1.9829463333333333,1.9886130000000002,1.9967143066864013,2.004,1.974839,1.97,2.01
2014/06,1.9962796666666665,2.002139833333333,2.0226906533432008,2.01,2.004,1.974839,2.048667
2014/07,2.020889,2.0283335,2.0363453266716003,2.048667,2.01,2.004,2.05
2014/08,2.0362223333333334,2.042889,2.1018821633358002,2.05,2.048667,2.01,2.167419
2014/09,2.0886953333333333,2.108487333333333,2.1409410816679,2.167419,2.05,2.048667,2.18
2014/10,2.1324729999999996,2.154139666666667,2.1562770408339498,2.18,2.167419,2.05,2.171613
