Year/Month,SMA Eggs Price,WMA Eggs Price,EMA Eggs Price,Eggs Price (1 month before),Eggs Price (2 month before),Eggs Price (3 month before),Eggs Price
2013/04,1.8000913333333335,1.7892568333333336,1.716200625,1.761303,1.812661,1.82631,1.642007
2013/05,1.738657,1.7102146666666667,1.6803308124999998,1.642007,1.761303,1.812661,1.644461
2013/06,1.6825903333333334,1.6631166666666666,1.59341390625,1.644461,1.642007,1.761303,1.506497
2013/07,1.5976550000000003,1.5750700000000002,1.5536844531249998,1.506497,1.644461,1.642007,1.513955
2013/08,1.554971,1.53322,1.5336472265624999,1.513955,1.506497,1.644461,1.51361
2013/09,1.5113539999999999,1.5125395,1.54034511328125,1.51361,1.513955,1.506497,1.547043
2013/10,1.5248693333333332,1.5303839999999997,1.558696556640625,1.547043,1.51361,1.513955,1.577048
2013/11,1.5459003333333332,1.5564733333333336,1.5717347783203124,1.577048,1.547043,1.51361,1.584773
2013/12,1.5696213333333333,1.5759096666666668,1.5842848891601562,1.584773,1.577048,1.547043,1.596835
2014/01,1.5862186666666667,1.5895165,1.5920954445800781,1.596835,1.584773,1.577048,1.599906
2014/02,1.5938379999999999,1.596360166666667,1.5774637222900392,1.599906,1.596835,1.584773,1.562832
2014/03,1.5865243333333334,1.5808571666666669,1.5678978611450196,1.562832,1.599906,1.596835,1.558332
2014/04,1.57369,1.5667610000000003,1.5720224305725097,1.558332,1.562832,1.599906,1.576147
2014/05,1.5657703333333333,1.5679895000000001,1.5679982152862548,1.576147,1.558332,1.562832,1.563974
2014/06,1.5661509999999998,1.5670913333333332,1.5669106076431274,1.563974,1.576147,1.558332,1.565823
2014/07,1.5686479999999998,1.5669273333333333,1.5682553038215636,1.565823,1.563974,1.576147,1.5696
2014/08,1.5664656666666668,1.5674033333333333,1.5667066519107817,1.5696,1.565823,1.563974,1.565158
2014/09,1.5668603333333335,1.5667495000000002,1.577796825955391,1.565158,1.5696,1.565823,1.588887
2014/10,1.5745483333333334,1.5777628333333336,1.5954549129776954,1.588887,1.565158,1.5696,1.613113
2014/11,1.5890526666666667,1.5970451666666665,1.6081759564888478,1.613113,1.588887,1.565158,1.620897
2014/12,1.6076323333333333,1.6129673333333334,1.604792978244424,1.620897,1.613113,1.588887,1.60141
2015/01,1.6118066666666666,1.6098561666666669,1.601746489122212,1.60141,1.620897,1.613113,1.5987
2015/02,1.6070023333333332,1.6033028333333335,1.604707244561106,1.5987,1.60141,1.620897,1.607668
2015/03,1.6025926666666666,1.6036356666666667,1.618571122280553,1.607668,1.5987,1.60141,1.632435
2015/04,1.6129343333333335,1.6185568333333336,1.6218405611402766,1.632435,1.607668,1.5987,1.62511
2015/05,1.621737666666667,1.6246446666666667,1.6123527805701383,1.62511,1.632435,1.607668,1.602865
2015/06,1.6201366666666666,1.6152083333333334,1.6061763902850692,1.602865,1.62511,1.632435,1.6
2015/07,1.6093250000000001,1.6051400000000002,1.6056621951425347,1.6,1.602865,1.62511,1.605148
2015/08,1.602671,1.6030515,1.6107535975712675,1.605148,1.6,1.602865,1.615845
2015/09,1.6069976666666668,1.6096385,1.6131717987856338,1.615845,1.605148,1.6,1.61559
2015/10,1.6121943333333333,1.6139346666666665,1.6112358993928169,1.61559,1.615845,1.605148,1.6093
2015/11,1.6135783333333336,1.6124875,1.6102679496964085,1.6093,1.61559,1.615845,1.6093
2015/12,1.6113966666666668,1.6103483333333333,1.6097839748482041,1.6093,1.6093,1.61559,1.6093
2016/01,1.6093,1.6093,1.6039759874241022,1.6093,1.6093,1.6093,1.598168
2016/02,1.6055893333333333,1.603734,1.5929689937120513,1.598168,1.6093,1.6093,1.581962
2016/03,1.5964766666666668,1.5919203333333334,1.5786924968560256,1.581962,1.598168,1.6093,1.564416
2016/04,1.5815153333333332,1.57589,1.5773462484280127,1.564416,1.581962,1.598168,1.576
2016/05,1.5741260000000004,1.5731323333333334,1.5735166242140064,1.576,1.564416,1.581962,1.569687
2016/06,1.5700343333333333,1.5709128333333335,1.5701083121070032,1.569687,1.576,1.564416,1.5667
2016/07,1.5707956666666665,1.5692456666666665,1.5202171560535016,1.5667,1.569687,1.576,1.470326
2016/08,1.535571,1.5190108333333334,1.4901085780267507,1.470326,1.5667,1.569687,1.46
2016/09,1.4990086666666667,1.4812253333333334,1.4650357890133754,1.46,1.470326,1.5667,1.439963
2016/10,1.4567629999999998,1.4517025,1.4471628945066877,1.439963,1.46,1.470326,1.42929
2016/11,1.4430843333333332,1.437966,1.437581447253344,1.42929,1.439963,1.46,1.428
2016/12,1.4324176666666666,1.4304238333333334,1.429790723626672,1.428,1.42929,1.439963,1.422
2017/01,1.4264299999999999,1.425215,1.393599861813336,1.422,1.428,1.42929,1.357409
2017/02,1.4024696666666667,1.3907045,1.359854430906668,1.357409,1.422,1.428,1.326109
2017/03,1.368506,1.3525241666666667,1.344649715453334,1.326109,1.357409,1.422,1.329445
2017/04,1.3376543333333333,1.3329936666666666,1.336414857726667,1.329445,1.326109,1.357409,1.32818
2017/05,1.3279113333333334,1.3282565,1.3329479288633335,1.32818,1.329445,1.326109,1.329481
2017/06,1.3290353333333333,1.3290413333333333,1.3310589644316666,1.329481,1.32818,1.329445,1.32917
