Year/Month,SMA Chicken Price,WMA Chicken Price,EMA Chicken Price,Chicken Price (1 month before),Chicken Price (2 month before),Chicken Price (3 month before),Chicken Price
2013/04,1.8921210000000002,1.8611995000000003,1.826735,1.795665,1.899504,1.981194,1.785463
2013/05,1.8268773333333332,1.8078705,1.798982,1.785463,1.795665,1.899504,1.771229
2013/06,1.7841189999999998,1.7800463333333332,1.8148925,1.771229,1.785463,1.795665,1.830803
2013/07,1.7958316666666665,1.8033883333333334,1.8444672500000001,1.830803,1.771229,1.785463,1.874042
2013/08,1.8253579999999998,1.8424934999999998,1.899983625,1.874042,1.830803,1.771229,1.9555
2013/09,1.8867816666666666,1.9075645,1.8838868125000001,1.9555,1.874042,1.830803,1.86779
2013/10,1.8991106666666668,1.8980686666666664,1.85199190625,1.86779,1.9555,1.874042,1.820097
2013/11,1.8811290000000003,1.8585618333333336,1.790087453125,1.820097,1.86779,1.9555,1.728183
2013/12,1.8053566666666665,1.7820888333333336,1.7429292265625,1.728183,1.820097,1.86779,1.695771
2014/01,1.748017,1.727296,1.7614406132812501,1.695771,1.728183,1.820097,1.779952
2014/02,1.7346353333333333,1.7432635,1.7999558066406252,1.779952,1.695771,1.728183,1.838471
2014/03,1.7713979999999998,1.795181333333333,1.8603809033203125,1.838471,1.779952,1.695771,1.920806
2014/04,1.8464096666666665,1.8698853333333334,1.9012139516601563,1.920806,1.838471,1.779952,1.942047
2014/05,1.9004413333333332,1.9177039999999999,1.9211489758300782,1.942047,1.920806,1.838471,1.941084
2014/06,1.9346456666666667,1.9380253333333333,1.875357987915039,1.941084,1.942047,1.920806,1.829567
2014/07,1.9042326666666665,1.8854860000000002,1.7906464939575195,1.829567,1.941084,1.942047,1.705935
2014/08,1.8255286666666668,1.7863371666666665,1.7435217469787596,1.705935,1.829567,1.941084,1.696397
2014/09,1.7439663333333335,1.721771333333333,1.6935558734893799,1.696397,1.705935,1.829567,1.64359
2014/10,1.681974,1.671583166666667,1.63421043674469,1.64359,1.696397,1.705935,1.574865
2014/11,1.6382839999999999,1.6180286666666668,1.566366718372345,1.574865,1.64359,1.696397,1.498523
2014/12,1.5723260000000001,1.5481481666666665,1.5689268591861727,1.498523,1.574865,1.64359,1.571487
2015/01,1.5482916666666666,1.5477286666666668,1.6096164295930864,1.571487,1.498523,1.574865,1.650306
2015/02,1.5734386666666669,1.5987358333333332,1.6595707147965433,1.650306,1.571487,1.498523,1.709525
2015/03,1.6437726666666668,1.666779,1.6852338573982717,1.709525,1.650306,1.571487,1.710897
2015/04,1.6902426666666666,1.7003411666666668,1.6987919286991358,1.710897,1.709525,1.650306,1.71235
2015/05,1.7109240000000001,1.7113948333333333,1.688919964349568,1.71235,1.710897,1.709525,1.679048
2015/06,1.7007649999999999,1.6954568333333333,1.715714982174784,1.679048,1.71235,1.710897,1.74251
2015/07,1.7113026666666666,1.7163293333333334,1.762495991087392,1.74251,1.679048,1.71235,1.809277
2015/08,1.7436116666666666,1.7653165000000002,1.7991304955436962,1.809277,1.74251,1.679048,1.835765
2015/09,1.7958506666666667,1.8113931666666667,1.778063747771848,1.835765,1.809277,1.74251,1.756997
2015/10,1.8006796666666667,1.7919663333333335,1.699815873885924,1.756997,1.835765,1.809277,1.621568
2015/11,1.73811,1.7024104999999998,1.638674436942962,1.621568,1.756997,1.835765,1.577533
2015/12,1.6520326666666667,1.622122,1.619045218471481,1.577533,1.621568,1.756997,1.599416
2016/01,1.5995056666666665,1.5958136666666665,1.6025066092357405,1.599416,1.577533,1.621568,1.585968
2016/02,1.587639,1.5890448333333334,1.5848928046178703,1.585968,1.599416,1.577533,1.567279
2016/03,1.584221,1.5788648333333335,1.5947304023089353,1.567279,1.585968,1.599416,1.604568
2016/04,1.5859383333333337,1.5890383333333336,1.5950987011544675,1.604568,1.567279,1.585968,1.595467
2016/05,1.5891046666666666,1.5938026666666667,1.5809798505772337,1.595467,1.604568,1.567279,1.566861
2016/06,1.5889653333333333,1.5826808333333335,1.6017149252886167,1.566861,1.595467,1.604568,1.62245
2016/07,1.594926,1.5994231666666667,1.6284509626443082,1.62245,1.566861,1.595467,1.655187
2016/08,1.6148326666666666,1.6295536666666666,1.629439981322154,1.655187,1.62245,1.566861,1.630429
2016/09,1.6360219999999999,1.6373518333333335,1.605619990661077,1.630429,1.655187,1.62245,1.5818
2016/10,1.6224720000000001,1.6102408333333333,1.5801549953305385,1.5818,1.630429,1.655187,1.55469
2016/11,1.588973,1.5763498333333335,1.5566674976652692,1.55469,1.5818,1.630429,1.53318
2016/12,1.5565566666666666,1.5484533333333335,1.5695772488326347,1.53318,1.55469,1.5818,1.582487
2017/01,1.5567856666666664,1.5614185,1.6226126244163175,1.582487,1.53318,1.55469,1.675648
2017/02,1.597105,1.6208496666666665,1.6328708122081588,1.675648,1.582487,1.53318,1.643129
2017/03,1.6337546666666667,1.6438616666666668,1.6011469061040793,1.643129,1.675648,1.582487,1.569423
2017/04,1.6293999999999997,1.6116958333333333,1.6016134530520396,1.569423,1.643129,1.675648,1.60208
2017/05,1.6048773333333333,1.5980358333333333,1.64844872652602,1.60208,1.569423,1.643129,1.695284
2017/06,1.6222623333333335,1.6432391666666668,1.70338786326301,1.695284,1.60208,1.569423,1.758327
2017/07,1.6852303333333332,1.7112714999999998,1.741395431631505,1.758327,1.695284,1.60208,1.779403
2017/08,1.744338,1.7583578333333332,1.7324007158157526,1.779403,1.758327,1.695284,1.723406
2017/09,1.753712,1.7478918333333333,1.6649238579078762,1.723406,1.779403,1.758327,1.597447
2017/10,1.7000853333333332,1.6697593333333334,1.596858928953938,1.597447,1.723406,1.779403,1.528794
2017/11,1.616549,1.5841136666666669,1.6126529644769692,1.528794,1.597447,1.723406,1.628447
2017/12,1.5848959999999999,1.5900626666666666,1.6328184822384846,1.628447,1.528794,1.597447,1.652984
2018/01,1.6034083333333333,1.6241066666666668,1.6457542411192423,1.652984,1.628447,1.528794,1.65869
2018/02,1.646707,1.6517475,1.6310076205596211,1.65869,1.652984,1.628447,1.616261
2018/03,1.642645,1.6365245000000002,1.6145103102798104,1.616261,1.65869,1.652984,1.598013
2018/04,1.6243213333333333,1.6142085,1.6048436551399052,1.598013,1.616261,1.65869,1.595177
2018/05,1.603150333333333,1.5996363333333334,1.6201058275699527,1.595177,1.598013,1.616261,1.635368
2018/06,1.6095193333333333,1.6157451666666667,1.6616879137849763,1.635368,1.595177,1.598013,1.70327
2018/07,1.644605,1.6626205,1.708548956892488,1.70327,1.635368,1.595177,1.75541
2018/08,1.698016,1.7180229999999999,1.746521478446244,1.75541,1.70327,1.635368,1.784494
2018/09,1.7477246666666666,1.7612619999999997,1.7180392392231219,1.784494,1.75541,1.70327,1.689557
2018/10,1.7431536666666665,1.7321781666666667,1.666487119611561,1.689557,1.784494,1.75541,1.614935
2018/11,1.6963286666666668,1.6680688333333336,1.6177600598057804,1.614935,1.689557,1.784494,1.569033
2018/12,1.6245083333333332,1.6044209999999997,1.5893140299028903,1.569033,1.614935,1.689557,1.560868
2019/01,1.581612,1.5726008333333332,1.5762150149514451,1.560868,1.569033,1.614935,1.563116
2019/02,1.5643389999999997,1.563352833333333,1.5250720074757225,1.563116,1.560868,1.569033,1.473929
2019/03,1.5326376666666668,1.5181478333333331,1.4916215037378613,1.473929,1.563116,1.560868,1.458171
2019/04,1.4984053333333334,1.4809145000000001,1.4924192518689305,1.458171,1.473929,1.563116,1.493217
2019/05,1.4751056666666666,1.4783203333333335,1.5275856259344653,1.493217,1.458171,1.473929,1.562752
2019/06,1.5047133333333333,1.5221435,1.5999363129672326,1.562752,1.493217,1.458171,1.672287
2019/07,1.5760853333333333,1.6059303333333332,1.6407486564836162,1.672287,1.562752,1.493217,1.681561
2019/08,1.6388666666666667,1.6586681666666667,1.612553328241808,1.681561,1.672287,1.562752,1.584358
2019/09,1.6460686666666666,1.6314138333333332,1.5990316641209041,1.584358,1.681561,1.672287,1.58551
2019/10,1.6171430000000002,1.6011345,1.559173832060452,1.58551,1.584358,1.681561,1.519316
2019/11,1.5630613333333334,1.552221,1.504511916030226,1.519316,1.58551,1.584358,1.44985
2019/12,1.5182253333333335,1.4956153333333333,1.503815458015113,1.44985,1.519316,1.58551,1.503119
