Year/Month,SMA Milk Price,WMA Milk Price,EMA Milk Price,Milk Price (1 month before),Milk Price (2 month before),Milk Price (3 month before),Milk Price
2013/04,0.3454,0.3454,0.3454,0.3454,0.3454,0.3454,0.3454
2013/05,0.3454,0.3454,0.3454,0.3454,0.3454,0.3454,0.3454
2013/06,0.3454,0.3454,0.3454,0.3454,0.3454,0.3454,0.3454
2013/07,0.3454,0.3454,0.3454,0.3454,0.3454,0.3454,0.3454
2013/08,0.3454,0.3454,0.34445000000000003,0.3454,0.3454,0.3454,0.3435
2013/09,0.34476666666666667,0.34445,0.352325,0.3435,0.3454,0.3454,0.3602
2013/10,0.34970000000000007,0.3521666666666667,0.3586125,0.3602,0.3435,0.3454,0.3649
2013/11,0.3562,0.3597666666666666,0.36450625000000003,0.3649,0.3602,0.3435,0.3704
2013/12,0.3651666666666667,0.3668666666666667,0.371053125,0.3704,0.3649,0.3602,0.3776
2014/01,0.37096666666666667,0.3730833333333334,0.3715765625,0.3776,0.3704,0.3649,0.3721
2014/02,0.3733666666666666,0.37365,0.37183828124999996,0.3721,0.3776,0.3704,0.3721
2014/03,0.3739333333333333,0.3730166666666666,0.36911914062499995,0.3721,0.3721,0.3776,0.3664
2014/04,0.37020000000000003,0.3692499999999999,0.36775957031249995,0.3664,0.3721,0.3721,0.3664
2014/05,0.3683,0.36735,0.36542978515624996,0.3664,0.3664,0.3721,0.3631
2014/06,0.36529999999999996,0.36474999999999996,0.361164892578125,0.3631,0.3664,0.3664,0.3569
2014/07,0.36213333333333336,0.36055,0.3508824462890625,0.3569,0.3631,0.3664,0.3406
2014/08,0.3535333333333333,0.34978333333333333,0.34529122314453126,0.3406,0.3569,0.3631,0.3397
2014/09,0.3457333333333333,0.34286666666666665,0.3454456115722656,0.3397,0.3406,0.3569,0.3456
2014/10,0.3419666666666667,0.3428,0.3458228057861328,0.3456,0.3397,0.3406,0.3462
2014/11,0.3438333333333334,0.3449166666666666,0.3468114028930664,0.3462,0.3456,0.3397,0.3478
2014/12,0.34653333333333336,0.34690000000000004,0.3482557014465332,0.3478,0.3462,0.3456,0.3497
2015/01,0.34789999999999993,0.3484833333333334,0.3468278507232666,0.3497,0.3478,0.3462,0.3454
2015/02,0.3476333333333333,0.34723333333333334,0.3434139253616333,0.3454,0.3497,0.3478,0.34
2015/03,0.34503333333333336,0.3434166666666667,0.3417569626808167,0.34,0.3454,0.3497,0.3401
2015/04,0.3418333333333334,0.34095000000000003,0.3372284813404084,0.3401,0.34,0.3454,0.3327000000000001
2015/05,0.33760000000000007,0.3363833333333334,0.3332142406702042,0.3327000000000001,0.3401,0.34,0.3292
2015/06,0.334,0.3321833333333334,0.3278071203351021,0.3292,0.3327000000000001,0.3401,0.3224
2015/07,0.32810000000000006,0.32638333333333336,0.31780356016755107,0.3224,0.3292,0.3327000000000001,0.3078
2015/08,0.31980000000000003,0.3162333333333333,0.31415178008377553,0.3078,0.3224,0.3292,0.3105
