Year/Month,SMA Milk Price,WMA Milk Price,EMA Milk Price,Milk Price (1 month before),Milk Price (2 month before),Milk Price (3 month before),Milk Price
2013/04,0.3506666666666667,0.3486666666666666,0.359625,0.345,0.35,0.357,0.37
2013/05,0.355,0.35833333333333334,0.3773125,0.37,0.345,0.35,0.395
2013/06,0.36999999999999994,0.37833333333333335,0.38865625000000004,0.395,0.37,0.345,0.4
2013/07,0.38833333333333336,0.39333333333333337,0.39432812500000003,0.4,0.395,0.37,0.4
2013/08,0.3983333333333334,0.3991666666666667,0.3971640625,0.4,0.4,0.395,0.4
2013/09,0.4000000000000001,0.4000000000000001,0.40608203125,0.4,0.4,0.4,0.415
2013/10,0.405,0.40750000000000003,0.414291015625,0.415,0.4,0.4,0.4225
2013/11,0.4124999999999999,0.41625,0.4271455078125,0.4225,0.415,0.4,0.44
2013/12,0.4258333333333333,0.43,0.43357275390625,0.44,0.4225,0.415,0.44
2014/01,0.43416666666666665,0.4370833333333333,0.431786376953125,0.44,0.44,0.4225,0.43
2014/02,0.4366666666666667,0.43500000000000005,0.4308931884765625,0.43,0.44,0.44,0.43
2014/03,0.43333333333333335,0.43166666666666664,0.42794659423828124,0.43,0.43,0.44,0.425
2014/04,0.4283333333333333,0.4275,0.42022329711914064,0.425,0.43,0.43,0.4125
2014/05,0.42250000000000004,0.41958333333333336,0.4201116485595703,0.4125,0.425,0.43,0.42
2014/06,0.41916666666666663,0.4183333333333333,0.42005582427978516,0.42,0.4125,0.425,0.42
2014/07,0.4175,0.41875,0.4075279121398926,0.42,0.42,0.4125,0.395
2014/08,0.4116666666666666,0.40750000000000003,0.40251395606994633,0.395,0.42,0.42,0.3975
2014/09,0.4041666666666666,0.40041666666666664,0.39125697803497317,0.3975,0.395,0.42,0.38
2014/10,0.3908333333333333,0.38833333333333336,0.3806284890174866,0.38,0.3975,0.395,0.37
2014/11,0.3825,0.3779166666666667,0.3628142445087433,0.37,0.38,0.3975,0.345
2014/12,0.365,0.3591666666666667,0.33515712225437166,0.345,0.37,0.38,0.3075
2015/01,0.3408333333333333,0.33041666666666664,0.3188285611271858,0.3075,0.345,0.37,0.3025
2015/02,0.3183333333333333,0.31124999999999997,0.31691428056359294,0.3025,0.3075,0.345,0.315
2015/03,0.30833333333333335,0.3095833333333333,0.3284571402817965,0.315,0.3025,0.3075,0.34
2015/04,0.31916666666666665,0.3254166666666667,0.33047857014089826,0.34,0.315,0.3025,0.3325
2015/05,0.32916666666666666,0.33208333333333334,0.32523928507044914,0.3325,0.34,0.315,0.32
2015/06,0.33083333333333337,0.3275,0.31511964253522456,0.32,0.3325,0.34,0.305
2015/07,0.31916666666666665,0.3145833333333334,0.3075598212676123,0.305,0.32,0.3325,0.3
2015/08,0.30833333333333335,0.305,0.2962799106338061,0.3,0.305,0.32,0.285
2015/09,0.29666666666666663,0.29333333333333333,0.290639955316903,0.285,0.3,0.305,0.285
2015/10,0.29,0.2875,0.2903199776584515,0.285,0.285,0.3,0.29
2015/11,0.2866666666666666,0.2875,0.29390998882922575,0.29,0.285,0.285,0.2975
2015/12,0.29083333333333333,0.29291666666666666,0.29695499441461287,0.2975,0.29,0.285,0.3
2016/01,0.29583333333333334,0.2975,0.2947274972073064,0.3,0.2975,0.29,0.2925
2016/02,0.29666666666666663,0.29583333333333334,0.2936137486036532,0.2925,0.3,0.2975,0.2925
2016/03,0.295,0.29375,0.28930687430182656,0.2925,0.2925,0.3,0.285
2016/04,0.29,0.28875,0.2821534371509133,0.285,0.2925,0.2925,0.275
2016/05,0.2841666666666666,0.28125,0.26607671857545667,0.275,0.285,0.2925,0.25
2016/06,0.27,0.26416666666666666,0.25803835928772834,0.25,0.275,0.285,0.25
2016/07,0.25833333333333336,0.25416666666666665,0.25401917964386417,0.25,0.25,0.275,0.25
2016/08,0.25,0.25,0.2520095898219321,0.25,0.25,0.25,0.25
2016/09,0.25,0.25,0.25725479491096603,0.25,0.25,0.25,0.2625
2016/10,0.25416666666666665,0.25625000000000003,0.274877397455483,0.2625,0.25,0.25,0.2925
2016/11,0.2683333333333333,0.27541666666666664,0.30243869872774154,0.2925,0.2625,0.25,0.33
2016/12,0.295,0.30624999999999997,0.33871934936387077,0.33,0.2925,0.2625,0.375
2017/01,0.3325,0.34625,0.34185967468193534,0.375,0.33,0.2925,0.345
2017/02,0.35000000000000003,0.35250000000000004,0.34592983734096766,0.345,0.375,0.33,0.35
2017/03,0.35666666666666663,0.3525,0.35296491867048385,0.35,0.345,0.375,0.36
2017/04,0.3516666666666666,0.3541666666666667,0.3564824593352419,0.36,0.35,0.345,0.36
2017/05,0.35666666666666663,0.35833333333333334,0.35824122966762095,0.36,0.36,0.35,0.36
2017/06,0.36000000000000004,0.36000000000000004,0.36287061483381045,0.36,0.36,0.36,0.3675
2017/07,0.3625,0.36375,0.3676853074169052,0.3675,0.36,0.36,0.3725
2017/08,0.3666666666666667,0.36874999999999997,0.3763426537084526,0.3725,0.3675,0.36,0.385
