Year/Month,SMA Chicken Price,WMA Chicken Price,EMA Chicken Price,Chicken Price (1 month before),Chicken Price (2 month before),Chicken Price (3 month before),Chicken Price
2013/04,1.6542936666666666,1.6204226666666666,1.56456175,1.561613,1.636429,1.764839,1.498
2013/05,1.5653473333333334,1.542275833333333,1.663571375,1.498,1.561613,1.636429,1.762581
2013/06,1.6073979999999999,1.6408926666666666,1.7131191875,1.762581,1.498,1.561613,1.762667
2013/07,1.6744160000000001,1.7185271666666668,1.8178500937500002,1.762667,1.762581,1.498,1.922581
2013/08,1.815943,1.842609666666667,1.872957546875,1.922581,1.762667,1.762581,1.928065
2013/09,1.8711043333333333,1.8986706666666666,1.7946452734375,1.928065,1.922581,1.762667,1.716333
2013/10,1.8556596666666667,1.8212849999999998,1.66748413671875,1.716333,1.928065,1.922581,1.540323
2013/11,1.7282403333333332,1.6636166666666667,1.592742068359375,1.540323,1.716333,1.928065,1.518
2013/12,1.591552,1.5584965000000002,1.5549195341796875,1.518,1.540323,1.716333,1.517097
2014/01,1.5251400000000002,1.5212690000000002,1.598750267089844,1.517097,1.518,1.540323,1.642581
2014/02,1.559226,1.5799895,1.627232133544922,1.642581,1.517097,1.518,1.655714
2014/03,1.6051306666666667,1.6282335000000001,1.612809566772461,1.655714,1.642581,1.517097,1.598387
2014/04,1.6322273333333335,1.6248616666666666,1.6507382833862305,1.598387,1.655714,1.642581,1.688667
2014/05,1.6475893333333334,1.6530815,1.6503691416931152,1.688667,1.598387,1.655714,1.65
2014/06,1.6456846666666667,1.6542868333333332,1.6323510708465576,1.65,1.688667,1.598387,1.614333
2014/07,1.651,1.6386109999999998,1.5998850354232788,1.614333,1.65,1.688667,1.567419
2014/08,1.610584,1.5968204999999998,1.5931685177116393,1.567419,1.614333,1.65,1.586452
2014/09,1.5894013333333332,1.5847545,1.5750842588558196,1.586452,1.567419,1.614333,1.557
2014/10,1.5702903333333331,1.5685538333333333,1.5212516294279097,1.557,1.586452,1.567419,1.467419
2014/11,1.536957,1.5171181666666669,1.4989593147139548,1.467419,1.557,1.586452,1.476667
2014/12,1.500362,1.4869731666666663,1.4975441573569774,1.476667,1.467419,1.557,1.496129
2015/01,1.4800716666666667,1.4848566666666667,1.5860300786784887,1.496129,1.476667,1.467419,1.674516
2015/02,1.5491039999999998,1.5820788333333333,1.5798005393392445,1.674516,1.496129,1.476667,1.573571
2015/03,1.5814053333333333,1.5943123333333336,1.5242552696696223,1.573571,1.674516,1.496129,1.46871
2015/04,1.5722656666666666,1.5379646666666666,1.541627634834811,1.46871,1.573571,1.674516,1.559
2015/05,1.5337603333333334,1.5313318333333334,1.5801688174174056,1.559,1.46871,1.573571,1.61871
2015/06,1.5488066666666667,1.5738066666666668,1.573750908708703,1.61871,1.559,1.46871,1.567333
2015/07,1.5816810000000003,1.5830698333333337,1.5873594543543514,1.567333,1.61871,1.559,1.600968
2015/08,1.5956703333333333,1.5927133333333334,1.6538412271771756,1.600968,1.567333,1.61871,1.720323
2015/09,1.6295413333333333,1.6550396666666665,1.6270871135885878,1.720323,1.600968,1.567333,1.600333
2015/10,1.6405413333333332,1.6404355,1.586608056794294,1.600333,1.720323,1.600968,1.546129
2015/11,1.6222616666666667,1.5932293333333334,1.547470528397147,1.546129,1.600333,1.720323,1.508333
2015/12,1.5515983333333334,1.536265,1.4035737641985735,1.508333,1.546129,1.600333,1.259677
2016/01,1.4380463333333333,1.3903043333333331,1.3798513820992868,1.259677,1.508333,1.546129,1.356129
2016/02,1.3747129999999999,1.3493456666666666,1.3432016910496434,1.356129,1.259677,1.508333,1.306552
2016/03,1.3074526666666666,1.3152651666666666,1.3072458455248217,1.306552,1.356129,1.259677,1.27129
2016/04,1.3113236666666668,1.2971838333333334,1.2686229227624108,1.27129,1.306552,1.356129,1.23
2016/05,1.2692806666666667,1.2565220000000001,1.3480209613812053,1.23,1.27129,1.306552,1.427419
2016/06,1.3095696666666667,1.3355911666666664,1.4821769806906027,1.427419,1.23,1.27129,1.616333
2016/07,1.424584,1.4889728333333334,1.5581854903453012,1.616333,1.427419,1.23,1.634194
2016/08,1.5593153333333334,1.5937778333333334,1.5529637451726506,1.634194,1.616333,1.427419,1.547742
2016/09,1.5994229999999998,1.5879911666666668,1.4826483725863253,1.547742,1.634194,1.616333,1.412333
2016/10,1.531423,1.4944461666666669,1.3532596862931627,1.412333,1.547742,1.634194,1.223871
2016/11,1.3946486666666666,1.3406701666666667,1.2711298431465814,1.223871,1.412333,1.547742,1.189
2016/12,1.275068,1.2378458333333333,1.3015324215732909,1.189,1.223871,1.412333,1.331935
2017/01,1.2482686666666667,1.2662793333333333,1.3133467107866454,1.331935,1.189,1.223871,1.325161
2017/02,1.282032,1.3047255,1.3216733553933229,1.325161,1.331935,1.189,1.33
2017/03,1.329032,1.3287095000000002,1.3200301776966614,1.33,1.325161,1.331935,1.318387
2017/04,1.324516,1.323387,1.3776815888483307,1.318387,1.33,1.325161,1.435333
2017/05,1.3612399999999998,1.3787955,1.5186792944241654,1.435333,1.318387,1.33,1.659677
2017/06,1.4711323333333333,1.528014,1.6436731472120827,1.659677,1.435333,1.318387,1.768667
2017/07,1.6212256666666667,1.6767813333333335,1.6895785736060414,1.768667,1.659677,1.435333,1.735484
2017/08,1.7212760000000003,1.7339105000000001,1.6993052868030207,1.735484,1.768667,1.659677,1.709032
2017/09,1.737727666666667,1.7277885,1.6199861434015104,1.709032,1.735484,1.768667,1.540667
2017/10,1.6617276666666667,1.629258166666667,1.525477071700755,1.540667,1.709032,1.735484,1.430968
2017/11,1.5602223333333332,1.5138783333333334,1.5177385358503774,1.430968,1.540667,1.709032,1.51
2017/12,1.4938783333333332,1.4887671666666666,1.5338692679251889,1.51,1.430968,1.540667,1.55
2018/01,1.4969893333333333,1.516828,1.4961281339625945,1.55,1.51,1.430968,1.458387
2018/02,1.5061290000000003,1.4975268333333336,1.4680640669812972,1.458387,1.55,1.51,1.44
2018/03,1.4827956666666668,1.4644623333333335,1.4703225334906485,1.44,1.458387,1.55,1.472581
2018/04,1.4569893333333332,1.4593549999999997,1.4604947667453243,1.472581,1.44,1.458387,1.450667
2018/05,1.454416,1.456193833333333,1.5425053833726623,1.450667,1.472581,1.44,1.624516
2018/06,1.5159213333333332,1.5412438333333334,1.640419191686331,1.624516,1.450667,1.472581,1.738333
2018/07,1.6045053333333332,1.6524496666666666,1.6471450958431655,1.738333,1.624516,1.450667,1.653871
2018/08,1.6722399999999997,1.6771325,1.6722820479215827,1.653871,1.738333,1.624516,1.697419
2018/09,1.6965409999999999,1.689722,1.6268075239607915,1.697419,1.653871,1.738333,1.581333
2018/10,1.6442076666666667,1.6321180000000002,1.5425972619803958,1.581333,1.697419,1.653871,1.458387
2018/11,1.5790463333333333,1.5392076666666668,1.443798630990198,1.458387,1.581333,1.697419,1.345
2018/12,1.4615733333333332,1.4221845000000002,1.3728668154950991,1.345,1.458387,1.581333,1.301935
2019/01,1.3684406666666666,1.3423653333333334,1.4191754077475496,1.301935,1.345,1.458387,1.465484
2019/02,1.3708063333333333,1.390887,1.4345877038737749,1.465484,1.301935,1.345,1.45
2019/03,1.4058063333333335,1.4304838333333334,1.4377778519368873,1.45,1.465484,1.301935,1.440968
2019/04,1.4521506666666666,1.4480646666666666,1.4032224259684436,1.440968,1.45,1.465484,1.368667
2019/05,1.4198783333333334,1.4063228333333333,1.462901712984222,1.368667,1.440968,1.45,1.522581
2019/06,1.444072,1.4576741666666668,1.520284356492111,1.522581,1.368667,1.440968,1.577667
2019/07,1.4896383333333334,1.5244716666666667,1.5443356782460556,1.577667,1.522581,1.368667,1.568387
2019/08,1.5562116666666668,1.5638459999999998,1.6236193391230278,1.568387,1.577667,1.522581,1.702903
2019/09,1.616319,1.6371916666666666,1.609309669561514,1.702903,1.568387,1.577667,1.595
2019/10,1.6220966666666667,1.6265321666666666,1.525945334780757,1.595,1.702903,1.568387,1.442581
2019/11,1.580161333333333,1.5367743333333335,1.4313061673903786,1.442581,1.595,1.702903,1.336667
2019/12,1.4580826666666666,1.4150271666666665,1.4177500836951893,1.336667,1.442581,1.595,1.404194
