Year/Month,SMA Chicken Price,WMA Chicken Price,EMA Chicken Price,Chicken Price (1 month before),Chicken Price (2 month before),Chicken Price (3 month before),Chicken Price
2013/04,1.8818933333333332,1.8818394999999999,1.8807099999999999,1.88,1.885357,1.880323,1.88
2013/05,1.8817856666666666,1.8808928333333332,1.873581,1.88,1.88,1.885357,1.866452
2013/06,1.875484,1.873226,1.889624,1.866452,1.88,1.88,1.905667
2013/07,1.8840396666666666,1.8883175,1.9046505,1.905667,1.866452,1.88,1.919677
2013/08,1.8972653333333334,1.906136166666667,1.85232525,1.919677,1.905667,1.866452,1.8
2013/09,1.8751146666666667,1.8575035,1.797996125,1.8,1.919677,1.905667,1.743667
2013/10,1.8211146666666667,1.7917796666666668,1.6925465625,1.743667,1.8,1.919677,1.587097
2013/11,1.7102546666666667,1.6747708333333335,1.6806067812499998,1.587097,1.743667,1.8,1.668667
2013/12,1.6664770000000002,1.653977,1.714658390625,1.668667,1.587097,1.743667,1.74871
2014/01,1.668158,1.6950934999999998,1.7323291953125,1.74871,1.668667,1.587097,1.75
2014/02,1.722459,1.7360145000000002,1.75384309765625,1.75,1.74871,1.668667,1.775357
2014/03,1.7580223333333336,1.7624635000000002,1.782728048828125,1.775357,1.75,1.74871,1.811613
2014/04,1.77899,1.7892588333333332,1.8018640244140625,1.811613,1.775357,1.75,1.821
2014/05,1.8026566666666666,1.8102638333333332,1.7891580122070312,1.821,1.811613,1.775357,1.776452
2014/06,1.8030216666666667,1.7971614999999999,1.7974125061035156,1.776452,1.821,1.811613,1.805667
2014/07,1.8010396666666664,1.7984841666666664,1.8204802530517576,1.805667,1.776452,1.821,1.843548
2014/08,1.8085556666666667,1.8197383333333335,1.7933046265258787,1.843548,1.805667,1.776452,1.766129
2014/09,1.8051146666666666,1.798525,1.7328188132629394,1.766129,1.843548,1.805667,1.672333
2014/10,1.76067,1.7321341666666665,1.6649579066314697,1.672333,1.766129,1.843548,1.597097
2014/11,1.6785196666666666,1.6503476666666668,1.6724789533157347,1.597097,1.672333,1.766129,1.68
2014/12,1.6498099999999998,1.6510878333333334,1.6818844766578673,1.68,1.597097,1.672333,1.69129
2015/01,1.656129,1.6718278333333334,1.7127162383289338,1.69129,1.68,1.597097,1.743548
2015/02,1.7049460000000003,1.715537333333333,1.709215119164467,1.743548,1.69129,1.68,1.705714
2015/03,1.7135173333333331,1.7159213333333332,1.7275105595822335,1.705714,1.743548,1.69129,1.745806
