Year/Month,SMA Butter Price,WMA Butter Price,EMA Butter Price,Butter Price (1 month before),Butter Price (2 month before),Butter Price (3 month before),Butter Price
2013/04,3.392666666666667,3.402333333333333,3.66075,3.428,3.38,3.37,3.92
2013/05,3.576,3.6660000000000004,3.880375,3.92,3.428,3.38,4.1
2013/06,3.8160000000000003,3.9279999999999995,4.0189375,4.1,3.92,3.428,4.1575
2013/07,4.059166666666666,4.09875,4.11546875,4.1575,4.1,3.92,4.212
2013/08,4.1565,4.175166666666667,4.181734375,4.212,4.1575,4.1,4.248
2013/09,4.2058333333333335,4.220916666666667,4.2418671875,4.248,4.212,4.1575,4.302
2013/10,4.2540000000000004,4.268999999999999,4.181933593749999,4.302,4.248,4.212,4.122
2013/11,4.224,4.203,4.106966796875,4.122,4.302,4.248,4.032
2013/12,4.152,4.107,4.0818168984375,4.032,4.122,4.302,4.056667
2014/01,4.070222333333334,4.0593335,3.97690844921875,4.056667,4.032,4.122,3.872
2014/02,3.986889,3.960222333333333,3.799704224609375,3.872,4.056667,4.032,3.6225
2014/03,3.850389,3.7780278333333333,3.7138521123046875,3.6225,3.872,4.056667,3.628
2014/04,3.7075,3.6668333333333334,3.617926056152344,3.628,3.6225,3.872,3.522
2014/05,3.5908333333333338,3.574083333333333,3.515963028076172,3.522,3.628,3.6225,3.414
2014/06,3.521333333333333,3.485666666666667,3.5229815140380856,3.414,3.522,3.628,3.53
2014/07,3.4886666666666666,3.4899999999999998,3.5144907570190425,3.53,3.414,3.522,3.506
2014/08,3.483333333333333,3.4986666666666664,3.3732453785095213,3.506,3.53,3.414,3.232
2014/09,3.4226666666666667,3.3729999999999998,3.2046226892547605,3.232,3.506,3.53,3.036
2014/10,3.2579999999999996,3.1796666666666673,3.11531134462738,3.036,3.232,3.506,3.026
2014/11,3.0980000000000003,3.0636666666666663,3.0901556723136903,3.026,3.036,3.232,3.065
2014/12,3.042333333333333,3.047166666666667,2.930077836156845,3.065,3.026,3.036,2.77
2015/01,2.9536666666666664,2.911,2.9290389180784224,2.77,3.065,3.026,2.928
2015/02,2.921,2.8981666666666666,3.0932694590392114,2.928,2.77,3.065,3.2575
2015/03,2.9851666666666667,3.0664166666666666,3.193634729519606,3.2575,2.928,2.77,3.294
2015/04,3.1598333333333333,3.220833333333333,3.137817364759803,3.294,3.2575,2.928,3.082
2015/05,3.2111666666666667,3.181916666666666,3.0649086823799014,3.082,3.294,3.2575,2.992
2015/06,3.122666666666666,3.072333333333333,3.0404543411899505,2.992,3.082,3.294,3.016
2015/07,3.03,3.0189999999999997,2.9822271705949754,3.016,2.992,3.082,2.924
2015/08,2.9773333333333336,2.9659999999999997,2.8671135852974876,2.924,3.016,2.992,2.752
2015/09,2.8973333333333335,2.8533333333333335,2.879556792648744,2.752,2.924,3.016,2.892
2015/10,2.856,2.8506666666666667,2.9547783963243717,2.892,2.752,2.924,3.03
2015/11,2.8913333333333333,2.9376666666666664,2.981389198162186,3.03,2.892,2.752,3.008
2015/12,2.9766666666666666,2.996,2.999694599081093,3.008,3.03,2.892,3.018
2016/01,3.018666666666667,3.016666666666666,2.956847299540547,3.018,3.008,3.03,2.914
2016/02,2.98,2.9643333333333337,2.7964236497702735,2.914,3.018,3.008,2.636
2016/03,2.8560000000000003,2.7923333333333336,2.640211824885137,2.636,2.914,3.018,2.484
2016/04,2.6780000000000004,2.606333333333333,2.5681059124425687,2.484,2.636,2.914,2.496
2016/05,2.5386666666666664,2.515333333333333,2.6070529562212843,2.496,2.484,2.636,2.646
2016/06,2.5420000000000003,2.569,2.810526478110642,2.646,2.496,2.484,3.014
2016/07,2.718666666666666,2.8049999999999997,3.022263239055321,3.014,2.646,2.496,3.234
2016/08,2.9646666666666666,3.0626666666666664,3.3491316195276606,3.234,3.014,2.646,3.676
2016/09,3.308,3.418333333333333,3.7125658097638308,3.676,3.234,3.014,4.076000000000001
2016/10,3.6620000000000004,3.8023333333333347,4.0402829048819155,4.076000000000001,3.676,3.234,4.368
2016/11,4.04,4.155333333333334,4.205141452440958,4.368,4.076000000000001,3.676,4.37
2016/12,4.2713333333333345,4.320333333333333,4.279570726220479,4.37,4.368,4.076000000000001,4.354
2017/01,4.364,4.361666666666667,4.25578536311024,4.354,4.37,4.368,4.232
2017/02,4.318666666666666,4.2956666666666665,4.243892681555121,4.232,4.354,4.37,4.232
2017/03,4.272666666666667,4.2523333333333335,4.23794634077756,4.232,4.232,4.354,4.232
2017/04,4.232,4.232,4.3439731703887805,4.232,4.232,4.232,4.45
2017/05,4.304666666666667,4.341,4.73098658519439,4.45,4.232,4.232,5.118
2017/06,4.6000000000000005,4.747666666666667,5.324493292597195,5.118,4.45,4.232,5.917999999999999
2017/07,5.162,5.406666666666666,5.821246646298597,5.917999999999999,5.118,4.45,6.318
2017/08,5.784666666666666,5.984666666666667,6.277623323149299,6.318,5.917999999999999,5.118,6.734
2017/09,6.323333333333333,6.459333333333333,6.592811661574649,6.734,6.318,5.917999999999999,6.907999999999999
2017/10,6.653333333333332,6.751666666666666,6.1454058307873245,6.907999999999999,6.734,6.318,5.698
2017/11,6.446666666666666,6.274,5.544702915393662,5.698,6.907999999999999,6.734,4.944
2017/12,5.849999999999999,5.522666666666666,4.972351457696831,4.944,5.698,6.907999999999999,4.4
2018/01,5.014,4.797666666666667,4.575175728848416,4.4,4.944,5.698,4.178
2018/02,4.507333333333334,4.379666666666666,4.624587864424207,4.178,4.4,4.944,4.673999999999999
2018/03,4.417333333333333,4.462999999999999,4.744293932212104,4.673999999999999,4.178,4.4,4.864
2018/04,4.571999999999999,4.686333333333333,5.187146966106052,4.864,4.673999999999999,4.178,5.63
2018/05,5.056,5.215333333333333,5.624573483053027,5.63,4.864,4.673999999999999,6.062
2018/06,5.518666666666667,5.718333333333334,5.861286741526513,6.062,5.63,4.864,6.098
2018/07,5.93,6.008,5.692643370763257,6.098,6.062,5.63,5.524
2018/08,5.894666666666667,5.805,5.7243216853816286,5.524,6.098,6.062,5.756
2018/09,5.792666666666666,5.735666666666667,5.572160842690814,5.756,5.524,6.098,5.42
2018/10,5.566666666666667,5.549333333333333,5.202080421345407,5.42,5.756,5.524,4.832
2018/11,5.335999999999999,5.1819999999999995,4.893040210672703,4.832,5.42,5.756,4.584
2018/12,4.945333333333333,4.806,4.657520105336351,4.584,4.832,5.42,4.422
2019/01,4.612666666666667,4.544333333333333,4.556760052668176,4.422,4.584,4.832,4.456
2019/02,4.487333333333333,4.466,4.450380026334088,4.456,4.422,4.584,4.343999999999999
2019/03,4.407333333333333,4.394333333333333,4.2931900131670435,4.343999999999999,4.456,4.422,4.136
2019/04,4.312,4.258666666666667,4.2415950065835215,4.136,4.343999999999999,4.456,4.19
2019/05,4.223333333333334,4.197666666666667,4.16479750329176,4.19,4.136,4.343999999999999,4.088
2019/06,4.138000000000001,4.13,4.00739875164588,4.088,4.19,4.136,3.85
2019/07,4.042666666666666,3.986,3.91069937582294,3.85,4.088,4.19,3.814
2019/08,3.9173333333333336,3.8716666666666666,3.73134968791147,3.814,3.85,4.088,3.552
2019/09,3.7386666666666666,3.689,3.769674843955735,3.552,3.814,3.85,3.808
2019/10,3.7246666666666663,3.7236666666666665,3.7668374219778675,3.808,3.552,3.814,3.764
2019/11,3.7079999999999997,3.7433333333333336,3.697418710988934,3.764,3.808,3.552,3.628
2019/12,3.733333333333333,3.703333333333333,3.6637093554944666,3.628,3.764,3.808,3.63
2020/01,3.6739999999999995,3.651666666666667,3.6518546777472336,3.63,3.628,3.764,3.64
2020/02,3.6326666666666667,3.6346666666666665,3.6059273388736166,3.64,3.63,3.628,3.56
2020/03,3.61,3.598333333333333,3.5439636694368084,3.56,3.64,3.63,3.482
2020/04,3.5606666666666666,3.534333333333334,3.1589818347184044,3.482,3.56,3.64,2.774
2020/05,3.272,3.141,3.0584909173592023,2.774,3.482,3.56,2.958
2020/06,3.0713333333333335,2.9840000000000004,3.1912454586796013,2.958,2.774,3.482,3.324
2020/07,3.018666666666667,3.110333333333333,3.3366227293398008,3.324,2.958,2.774,3.482
2020/08,3.2546666666666666,3.342,3.4003113646699004,3.482,3.324,2.958,3.464
2020/09,3.4233333333333333,3.4466666666666668,3.45515568233495,3.464,3.482,3.324,3.51
2020/10,3.485333333333333,3.4899999999999998,3.462577841167475,3.51,3.464,3.482,3.47
2020/11,3.4813333333333336,3.482333333333333,3.4452889205837374,3.47,3.51,3.464,3.428
2020/12,3.4693333333333336,3.455666666666666,3.388644460291869,3.428,3.47,3.51,3.332
