Year/Month,SMA Lemons Price,WMA Lemons Price,EMA Lemons Price,Lemons Price (1 month before),Lemons Price (2 month before),Lemons Price (3 month before),Lemons Price
2013/04,0.710737,0.7200049999999999,0.7718084999999999,0.7431369999999999,0.701545,0.687529,0.82478
2013/05,0.7564873333333333,0.7770264999999998,0.8829072499999999,0.82478,0.7431369999999999,0.701545,0.994006
2013/06,0.8539743333333334,0.8957858333333334,0.956386125,0.994006,0.82478,0.7431369999999999,1.029865
2013/07,0.9495503333333333,0.9837311666666667,0.9622830625000001,1.029865,0.994006,0.82478,0.96818
2013/08,0.9973503333333333,0.993046,0.97518903125,0.96818,1.029865,0.994006,0.988095
2013/09,0.9953799999999999,0.9884183333333333,0.987255515625,0.988095,0.96818,1.029865,0.999322
2013/10,0.985199,0.9903893333333333,0.9560952578124999,0.999322,0.988095,0.96818,0.924935
2013/11,0.970784,0.9602573333333333,0.89231262890625,0.924935,0.999322,0.988095,0.82853
2013/12,0.9175956666666666,0.8891303333333335,0.871289314453125,0.82853,0.924935,0.999322,0.850266
2014/01,0.8679103333333332,0.8554654999999999,0.8414831572265624,0.850266,0.82853,0.924935,0.811677
2014/02,0.8301576666666666,0.8273488333333333,0.8432665786132811,0.811677,0.850266,0.82853,0.84505
2014/03,0.8356643333333333,0.8347950000000001,0.8546702893066406,0.84505,0.811677,0.850266,0.866074
2014/04,0.8409336666666668,0.8499998333333333,0.8632171446533203,0.866074,0.84505,0.811677,0.871764
2014/05,0.8609626666666665,0.865415,0.9040370723266602,0.871764,0.866074,0.84505,0.944857
2014/06,0.8942316666666666,0.9073621666666666,0.8943970361633301,0.944857,0.871764,0.866074,0.884757
2014/07,0.9004593333333334,0.9026248333333333,0.8998215180816651,0.884757,0.944857,0.871764,0.905246
2014/08,0.91162,0.9050181666666667,0.9667787590408325,0.905246,0.884757,0.944857,1.033736
2014/09,0.9412463333333333,0.9660761666666667,1.1272538795204161,1.033736,0.905246,0.884757,1.287729
2014/10,1.0755703333333333,1.1393175,1.077570439760208,1.287729,1.033736,0.905246,1.027887
2014/11,1.1164506666666665,1.1154758333333332,0.9892267198801039,1.027887,1.287729,1.033736,0.900883
2014/12,1.0721663333333333,1.007692,0.8627313599400519,0.900883,1.027887,1.287729,0.736236
2015/01,0.8883353333333334,0.8397268333333333,0.7334006799700259,0.736236,0.900883,1.027887,0.60407
2015/02,0.7470629999999999,0.6975941666666667,0.6914368399850129,0.60407,0.736236,0.900883,0.649473
2015/03,0.6632596666666667,0.6487991666666667,0.6849399199925065,0.649473,0.60407,0.736236,0.678443
2015/04,0.6439953333333334,0.6563908333333334,0.7758259599962533,0.678443,0.649473,0.60407,0.866712
2015/05,0.7315426666666668,0.7677491666666666,0.9444719799981267,0.866712,0.678443,0.649473,1.113118
2015/06,0.8860910000000001,0.9585368333333334,1.0500369899990634,1.113118,0.866712,0.678443,1.155602
2015/07,1.045144,1.0932923333333333,1.1095804949995318,1.155602,1.113118,0.866712,1.169124
2015/08,1.145948,1.1552823333333333,1.191080247499766,1.169124,1.155602,1.113118,1.27258
2015/09,1.1991020000000001,1.2185983333333334,1.3663746237498828,1.27258,1.169124,1.155602,1.541669
2015/10,1.3277910000000002,1.3898818333333331,1.4318348118749413,1.541669,1.27258,1.169124,1.497295
2015/11,1.4371813333333334,1.474633833333333,1.3756399059374707,1.497295,1.541669,1.27258,1.319445
2015/12,1.452803,1.4157656666666665,1.2779439529687353,1.319445,1.497295,1.541669,1.180248
2016/01,1.3323293333333333,1.2794881666666666,1.1849644764843676,1.180248,1.319445,1.497295,1.091985
2016/02,1.197226,1.1593159999999998,1.144245238242184,1.091985,1.180248,1.319445,1.103526
2016/03,1.125253,1.1124660000000002,1.127652119121092,1.103526,1.091985,1.180248,1.111059
2016/04,1.10219,1.105369,1.380152059560546,1.111059,1.103526,1.091985,1.632652
2016/05,1.2824123333333333,1.3705999999999998,1.532423529780273,1.632652,1.111059,1.103526,1.684695
2016/06,1.4761353333333336,1.5717413333333334,1.6522877648901364,1.684695,1.632652,1.111059,1.772152
2016/07,1.6964996666666667,1.7197496666666667,1.7404763824450682,1.772152,1.684695,1.632652,1.828665
2016/08,1.7618373333333333,1.7858323333333335,1.854268191222534,1.828665,1.772152,1.684695,1.96806
2016/09,1.8562923333333334,1.8889436666666668,1.695030095611267,1.96806,1.828665,1.772152,1.535792
2016/10,1.7775056666666667,1.7286935,1.5494465478056334,1.535792,1.96806,1.828665,1.403863
2016/11,1.6359050000000002,1.5418721666666666,1.3669602739028166,1.403863,1.535792,1.96806,1.184474
2016/12,1.3747096666666667,1.3161566666666669,1.2170401369514083,1.184474,1.403863,1.535792,1.06712
2017/01,1.2184856666666668,1.1623618333333334,1.1082505684757042,1.06712,1.184474,1.403863,0.999461
2017/02,1.083685,1.0528495,0.9980952842378521,0.999461,1.06712,1.184474,0.88794
2017/03,0.9848403333333334,0.9549770000000001,0.948499642118926,0.88794,0.999461,1.06712,0.898904
2017/04,0.9287683333333333,0.9120088333333335,0.974922821059463,0.898904,0.88794,0.999461,1.001346
2017/05,0.9293966666666668,0.9482976666666668,1.1474649105297314,1.001346,0.898904,0.88794,1.320007
2017/06,1.0734190000000001,1.1436028333333332,1.1683119552648658,1.320007,1.001346,0.898904,1.189159
2017/07,1.1701706666666667,1.2014728333333333,1.176795477632433,1.189159,1.320007,1.001346,1.185279
2017/08,1.2314816666666666,1.209027,1.1552002388162164,1.185279,1.189159,1.320007,1.133605
2017/09,1.1693476666666667,1.1600886666666665,1.0195701194081082,1.133605,1.185279,1.189159,0.8839400000000001
2017/10,1.067608,1.0173848333333335,1.106509059704054,0.8839400000000001,1.133605,1.185279,1.193448
2017/11,1.0703310000000001,1.0803048333333334,1.130396029852027,1.193448,0.8839400000000001,1.133605,1.154283
2017/12,1.0772236666666666,1.1222808333333332,1.1157205149260134,1.154283,1.193448,0.8839400000000001,1.101045
2018/01,1.149592,1.1341915,1.0367087574630067,1.101045,1.154283,1.193448,0.957697
2018/02,1.0710083333333333,1.038244,1.0071773787315035,0.957697,1.101045,1.154283,0.977646
2018/03,1.0121293333333334,0.9915628333333334,0.9853901893657517,0.977646,0.957697,1.101045,0.963603
2018/04,0.9663153333333333,0.9672996666666668,0.9717435946828759,0.963603,0.977646,0.957697,0.958097
2018/05,0.9664486666666666,0.9631905,1.291013797341438,0.958097,0.963603,0.977646,1.610284
2018/06,1.177328,1.2851081666666666,1.454756898670719,1.610284,0.958097,0.963603,1.6185
2018/07,1.395627,1.505694166666667,1.5058154493353595,1.6185,1.610284,0.958097,1.556874
2018/08,1.5952193333333333,1.5863176666666667,1.2450722246676797,1.556874,1.6185,1.610284,0.984329
2018/09,1.3865676666666669,1.2808725,1.1911211123338399,0.984329,1.556874,1.6185,1.13717
2018/10,1.2261243333333336,1.1561736666666667,1.2372685561669199,1.13717,0.984329,1.556874,1.283416
2018/11,1.1349716666666667,1.1848195,1.23468277808346,1.283416,1.13717,0.984329,1.232097
2018/12,1.2175610000000001,1.2333821666666667,1.19089438904173,1.232097,1.283416,1.13717,1.147106
2019/01,1.2208729999999999,1.1981546666666667,1.085447194520865,1.147106,1.232097,1.283416,0.98
2019/02,1.1197343333333334,1.0777181666666666,0.9888270972604325,0.98,1.147106,1.232097,0.892207
2019/03,1.0064376666666666,0.9639544999999999,0.9367585486302162,0.892207,0.98,1.147106,0.88469
2019/04,0.9189656666666667,0.9030806666666665,0.9131492743151081,0.88469,0.892207,0.98,0.8895399999999999
2019/05,0.8888123333333332,0.8883678333333332,0.993040637157554,0.8895399999999999,0.88469,0.892207,1.072932
2019/06,0.949054,0.9804276666666666,1.0232153185787771,1.072932,0.8895399999999999,0.88469,1.05339
2019/07,1.0052873333333334,1.0325956666666667,1.0405916592893885,1.05339,1.072932,0.8895399999999999,1.057968
2019/08,1.0614299999999999,1.058936,1.0015503296446941,1.057968,1.05339,1.072932,0.962509
2019/09,1.0246223333333333,1.0094755,0.9655816648223471,0.962509,1.057968,1.05339,0.929613
2019/10,0.9833633333333335,0.9619708333333333,1.0460713324111734,0.929613,0.962509,1.057968,1.126561
2019/11,1.0062276666666667,1.0335696666666667,1.1010271662055868,1.126561,0.929613,0.962509,1.155983
2019/12,1.070719,1.1084473333333333,1.1299105831027934,1.155983,1.126561,0.929613,1.158794
2020/01,1.1471126666666667,1.1524848333333333,1.0947632915513967,1.158794,1.155983,1.126561,1.059616
2020/02,1.1247976666666668,1.1087365,1.0619956457756983,1.059616,1.158794,1.155983,1.029228
2020/03,1.082546,1.0609516666666667,1.061694822887849,1.029228,1.059616,1.158794,1.061394
2020/04,1.0500793333333334,1.0503756666666666,1.1669459114439245,1.061394,1.029228,1.059616,1.272197
