Year/Month,SMA Butter Price,WMA Butter Price,EMA Butter Price,Butter Price (1 month before),Butter Price (2 month before),Butter Price (3 month before),Butter Price
2013/04,3.140886666666667,3.13885,3.2911574999999997,3.15692,3.0966,3.16914,3.43742
2013/05,3.230313333333333,3.2871166666666665,3.4558687499999996,3.43742,3.15692,3.0966,3.62058
2013/06,3.404973333333333,3.48225,3.5723343749999996,3.62058,3.43742,3.15692,3.6888
2013/07,3.582266666666667,3.624163333333333,3.6775871875,3.6888,3.62058,3.43742,3.78284
2013/08,3.697406666666667,3.7244499999999996,3.79674359375,3.78284,3.6888,3.62058,3.9159
2013/09,3.7958466666666673,3.833696666666667,3.884881796875,3.9159,3.78284,3.6888,3.97302
2013/10,3.890586666666667,3.922283333333334,3.8792808984375,3.97302,3.9159,3.78284,3.87368
2013/11,3.920866666666667,3.9138299999999995,3.90382044921875,3.87368,3.97302,3.9159,3.92836
2013/12,3.92502,3.9175766666666667,4.048950224609374,3.92836,3.87368,3.97302,4.19408
2014/01,3.9987066666666666,4.052106666666666,4.028815112304687,4.19408,3.92836,3.87368,4.00868
2014/02,4.043706666666666,4.057093333333333,3.7978910561523436,4.00868,4.19408,3.92836,3.566967
2014/03,3.923242333333333,3.8187234999999995,3.6646155280761716,3.566967,4.00868,4.19408,3.53134
2014/04,3.702329,3.6227723333333337,3.5747477640380856,3.53134,3.566967,4.00868,3.48488
2014/05,3.5277290000000003,3.514047833333333,3.458383882019043,3.48488,3.53134,3.566967,3.34202
2014/06,3.4527466666666666,3.4211933333333335,3.4152019410095216,3.34202,3.48488,3.53134,3.37202
2014/07,3.39964,3.38083,3.4164409705047607,3.37202,3.34202,3.48488,3.41768
2014/08,3.3772400000000005,3.3898499999999996,3.34146048525238,3.41768,3.37202,3.34202,3.26648
2014/09,3.35206,3.33447,3.1632402426261903,3.26648,3.41768,3.37202,2.98502
2014/10,3.2230600000000003,3.15095,3.0807501213130952,2.98502,3.26648,3.41768,2.99826
2014/11,3.0832533333333334,3.0385500000000003,3.0645625606565474,2.99826,2.98502,3.26648,3.048375
2014/12,3.0105516666666667,3.0211108333333336,3.019818780328274,3.048375,2.99826,2.98502,2.975075
2015/01,3.007236666666667,3.0033725,2.897649390164137,2.975075,3.048375,2.99826,2.77548
2015/02,2.932976666666667,2.8874941666666665,2.9552246950820686,2.77548,2.975075,3.048375,3.0128
2015/03,2.9211183333333337,2.9274058333333333,3.0909123475410345,3.0128,2.77548,2.975075,3.2266
2015/04,3.00496,3.0801466666666664,3.2029261737705172,3.2266,3.0128,2.77548,3.31494
2015/05,3.18478,3.235136666666667,3.0319530868852587,3.31494,3.2266,3.0128,2.86098
2015/06,3.134173333333333,3.0732366666666664,2.9072865434426296,2.86098,3.31494,3.2266,2.78262
2015/07,2.9861799999999996,2.89746,2.8707932717213147,2.78262,2.86098,3.31494,2.8343
2015/08,2.8259666666666665,2.82152,2.8199466358606573,2.8343,2.78262,2.86098,2.7691
2015/09,2.79534,2.793086666666666,2.8230533179303285,2.7691,2.8343,2.78262,2.82616
2015/10,2.809853333333333,2.8084966666666666,2.892066658965164,2.82616,2.7691,2.8343,2.96108
2015/11,2.852113333333333,2.8841099999999997,2.9192133294825817,2.96108,2.82616,2.7691,2.94636
2015/12,2.9111999999999996,2.931233333333333,2.927546664741291,2.94636,2.96108,2.82616,2.93588
2016/01,2.9477733333333327,2.943573333333333,2.8439333323706455,2.93588,2.94636,2.96108,2.76032
2016/02,2.880853333333333,2.8498466666666666,2.675256666185323,2.76032,2.93588,2.94636,2.50658
2016/03,2.7342600000000004,2.66271,2.5379183330926613,2.50658,2.76032,2.93588,2.40058
2016/04,2.5558266666666665,2.49587,2.425519166546331,2.40058,2.50658,2.76032,2.31312
2016/05,2.4067600000000002,2.374516666666667,2.3616595832731653,2.31312,2.40058,2.50658,2.2978
2016/06,2.3371666666666666,2.3200366666666667,2.434379791636583,2.2978,2.31312,2.40058,2.5071
2016/07,2.372673333333333,2.4050033333333336,2.6608698958182915,2.5071,2.2978,2.31312,2.88736
2016/08,2.564086666666667,2.6623466666666666,2.941854947909146,2.88736,2.5071,2.2978,3.22284
2016/09,2.8724333333333334,2.9917233333333333,3.243437473954573,3.22284,2.88736,2.5071,3.54502
2016/10,3.2184066666666666,3.3280166666666666,3.6013587369772866,3.54502,3.22284,2.88736,3.95928
2016/11,3.5757133333333333,3.698453333333333,3.8486693684886433,3.95928,3.54502,3.22284,4.09598
2016/12,3.8667600000000006,3.9585866666666667,4.071154684244322,4.09598,3.95928,3.54502,4.29364
2017/01,4.1163,4.1720266666666666,4.081487342122161,4.29364,4.09598,3.95928,4.09182
2017/02,4.160480000000001,4.159786666666666,3.9394636710610804,4.09182,4.29364,4.09598,3.79744
2017/03,4.060966666666666,3.9782666666666664,3.8975418355305402,3.79744,4.09182,4.29364,3.85562
2017/04,3.91496,3.8755933333333332,3.9866209177652703,3.85562,3.79744,4.09182,4.0757
2017/05,3.909586666666667,3.955963333333333,4.172340458882635,4.0757,3.85562,3.79744,4.35806
2017/06,4.09646,4.1802,4.485510229441317,4.35806,4.0757,3.85562,4.79868
2017/07,4.4108133333333335,4.53131,4.733355114720659,4.79868,4.35806,4.0757,4.9812
2017/08,4.712646666666667,4.816503333333333,5.127427557360329,4.9812,4.79868,4.35806,5.5215
2017/09,5.10046,5.22093,5.3244637786801645,5.5215,4.9812,4.79868,5.5215
2017/10,5.3414,5.431450000000001,5.276306889340082,5.5215,5.5215,4.9812,5.22815
2017/11,5.4237166666666665,5.374825,5.253083444670041,5.22815,5.5215,5.5215,5.22986
2017/12,5.326503333333333,5.277896666666667,5.07529172233502,5.22986,5.22815,5.5215,4.8975
2018/01,5.118503333333334,5.063395,4.55120836116751,4.8975,5.22986,5.22815,4.027125
2018/02,4.718161666666666,4.517705833333333,4.315894180583755,4.027125,4.8975,5.22986,4.08058
2018/03,4.335068333333333,4.198915,4.312907090291878,4.08058,4.027125,4.8975,4.30992
2018/04,4.139208333333333,4.186340833333333,4.518678545145939,4.30992,4.08058,4.027125,4.72445
2018/05,4.37165,4.478961666666667,4.8255392725729696,4.72445,4.30992,4.08058,5.132400000000001
2018/06,4.7222566666666665,4.8593366666666675,5.042603136286484,5.132400000000001,4.72445,4.30992,5.259666999999999
2018/07,5.038839,5.1280418333333335,5.134531568143242,5.259666999999999,5.132400000000001,4.72445,5.226459999999999
2018/08,5.206175666666667,5.2218523333333335,5.131705784071622,5.226459999999999,5.259666999999999,5.132400000000001,5.128880000000001
2018/09,5.205002333333334,5.1832045,5.22350289203581,5.128880000000001,5.226459999999999,5.259666999999999,5.3153
2018/10,5.2235466666666674,5.238353333333333,5.015841446017905,5.3153,5.128880000000001,5.226459999999999,4.80818
2018/11,5.08412,5.03067,4.801470723008952,4.80818,5.3153,5.128880000000001,4.5871
2018/12,4.903526666666667,4.78216,4.575425361504476,4.5871,4.80818,5.3153,4.34938
2019/01,4.581553333333333,4.505086666666667,4.420392680752238,4.34938,4.5871,4.80818,4.26536
2019/02,4.400613333333333,4.34699,4.278266340376119,4.26536,4.34938,4.5871,4.13614
2019/03,4.250293333333334,4.214753333333333,4.1540731701880595,4.13614,4.26536,4.34938,4.02988
2019/04,4.143793333333334,4.104546666666667,4.087606585094029,4.02988,4.13614,4.26536,4.02114
2019/05,4.062386666666666,4.043220000000001,4.035963292547015,4.02114,4.02988,4.13614,3.98432
2019/06,4.011780000000001,4.004186666666667,3.8645441462735075,3.98432,4.02114,4.02988,3.693125
2019/07,3.899528333333333,3.844859166666667,3.7206345731367536,3.693125,3.98432,4.02114,3.576725
2019/08,3.7513900000000002,3.6834575000000007,3.5658072865683765,3.576725,3.693125,3.98432,3.41098
2019/09,3.5602766666666668,3.5132525,3.654493643284188,3.41098,3.576725,3.693125,3.74318
2019/10,3.576961666666667,3.6047041666666666,3.7395068216420944,3.74318,3.41098,3.576725,3.82452
2019/11,3.6595600000000004,3.728483333333333,3.740243410821047,3.82452,3.74318,3.41098,3.74098
2019/12,3.7695600000000002,3.7691933333333334,3.7373917054105235,3.74098,3.82452,3.74318,3.73454
2020/01,3.7666799999999996,3.7516833333333337,3.6437158527052618,3.73454,3.74098,3.82452,3.55004
2020/02,3.6751866666666664,3.6433633333333333,3.563470426352631,3.55004,3.73454,3.74098,3.483225
2020/03,3.589268333333333,3.5473825,3.4094052131763153,3.483225,3.55004,3.73454,3.25534
2020/04,3.429535,3.3804183333333335,3.1883526065881576,3.25534,3.483225,3.55004,2.9673
