Year/Month,SMA Cheese Price,WMA Cheese Price,EMA Cheese Price,Cheese Price (1 month before),Cheese Price (2 month before),Cheese Price (3 month before),Cheese Price
2013/04,3.387286666666667,3.3744166666666664,3.36217875,3.35133,3.38198,3.42855,3.34606
2013/05,3.35979,3.3538033333333335,3.3466693750000003,3.34606,3.35133,3.38198,3.33116
2013/06,3.3428500000000003,3.339488333333333,3.3205159375,3.33116,3.34606,3.35133,3.2943625
2013/07,3.3238608333333333,3.3152445833333335,3.37073296875,3.2943625,3.33116,3.34606,3.42095
2013/08,3.3488241666666667,3.363789166666667,3.4464264843750003,3.42095,3.2943625,3.33116,3.52212
2013/09,3.4124775,3.4504370833333335,3.5710482421875,3.52212,3.42095,3.2943625,3.69567
2013/10,3.5462466666666668,3.592033333333333,3.68119912109375,3.69567,3.52212,3.42095,3.79135
2013/11,3.6697133333333336,3.714585,3.765704560546875,3.79135,3.69567,3.52212,3.85021
2013/12,3.7790766666666666,3.8048333333333333,3.921552280273438,3.85021,3.79135,3.69567,4.077400000000001
2014/01,3.9063200000000005,3.9539950000000004,3.987851140136719,4.077400000000001,3.85021,3.79135,4.05415
2014/02,3.9939200000000006,4.02791,3.9622505700683597,4.05415,4.077400000000001,3.85021,3.93665
2014/03,4.022733333333334,3.9992750000000004,3.8669202850341797,3.93665,4.05415,4.077400000000001,3.77159
2014/04,3.9207966666666665,3.8737033333333337,3.76029514251709,3.77159,3.93665,4.05415,3.65367
2014/05,3.7873033333333335,3.7401400000000002,3.594697571258545,3.65367,3.77159,3.93665,3.4291
2014/06,3.61812,3.5610383333333337,3.4294537856292724,3.4291,3.65367,3.77159,3.2642100000000003
2014/07,3.4489933333333336,3.3840833333333333,3.349066892814636,3.2642100000000003,3.4291,3.65367,3.26868
2014/08,3.3206633333333335,3.2939266666666662,3.301998446407318,3.26868,3.2642100000000003,3.4291,3.25493
2014/09,3.2626066666666667,3.26106,3.1957392232036588,3.25493,3.26868,3.2642100000000003,3.08948
2014/10,3.2043633333333332,3.1744966666666663,3.1363996116018296,3.08948,3.25493,3.26868,3.07706
2014/11,3.14049,3.110845,3.0862810558009146,3.07706,3.08948,3.25493,3.0361625
2014/12,3.0675674999999996,3.0586812500000007,3.0045780279004575,3.0361625,3.07706,3.08948,2.922875
2015/01,3.0120325,2.9863350000000004,2.898139013950229,2.922875,3.0361625,3.07706,2.7917
2015/02,2.9169125,2.87616875,2.8591132569751148,2.7917,2.922875,3.0361625,2.8200875
2015/03,2.8448875,2.82775625,2.8271466284875575,2.8200875,2.7917,2.922875,2.79518
2015/04,2.8023225000000003,2.8029025,2.828623314243779,2.79518,2.8200875,2.7917,2.8301
2015/05,2.8151224999999998,2.81679125,2.7405966571218894,2.8301,2.79518,2.8200875,2.65257
2015/06,2.7592833333333338,2.735515,2.6414433285609444,2.65257,2.8301,2.79518,2.54229
2015/07,2.674986666666667,2.6270183333333335,2.5606916642804722,2.54229,2.65257,2.8301,2.47994
2015/08,2.558266666666667,2.5294950000000003,2.510670832140236,2.47994,2.54229,2.65257,2.46065
2015/09,2.4942933333333333,2.4806866666666667,2.501190416070118,2.46065,2.47994,2.54229,2.4917100000000003
2015/10,2.4774333333333334,2.4793950000000002,2.5111252080350592,2.4917100000000003,2.46065,2.47994,2.52106
2015/11,2.49114,2.501208333333333,2.5321926040175295,2.52106,2.4917100000000003,2.46065,2.55326
2015/12,2.52201,2.532268333333333,2.5356513020087648,2.55326,2.52106,2.4917100000000003,2.53911
2016/01,2.53781,2.5408183333333336,2.4738456510043827,2.53911,2.55326,2.52106,2.41204
2016/02,2.50147,2.477933333333333,2.4019978255021917,2.41204,2.53911,2.55326,2.33015
2016/03,2.4271,2.3922733333333337,2.370103912751096,2.33015,2.41204,2.53911,2.33821
2016/04,2.3601333333333336,2.3478283333333336,2.314461956375548,2.33821,2.33015,2.41204,2.25882
2016/05,2.30906,2.297171666666667,2.243445978187774,2.25882,2.33821,2.33015,2.17243
2016/06,2.256486666666667,2.2288566666666667,2.259782989093887,2.17243,2.25882,2.33821,2.27612
2016/07,2.23579,2.2386733333333333,2.353516494546944,2.27612,2.17243,2.25882,2.44725
2016/08,2.2986,2.344403333333333,2.589693247273472,2.44725,2.27612,2.17243,2.82587
2016/09,2.5164133333333334,2.6080383333333335,2.829376623636736,2.82587,2.44725,2.27612,3.0690600000000003
2016/10,2.780726666666667,2.884361666666667,3.072893311818368,3.0690600000000003,2.82587,2.44725,3.31641
2016/11,3.0704466666666668,3.152203333333334,3.241176655909184,3.31641,3.0690600000000003,2.82587,3.40946
2016/12,3.264976666666667,3.32171,3.329178327954592,3.40946,3.31641,3.0690600000000003,3.41718
2017/01,3.381016666666667,3.397811666666667,3.329709163977296,3.41718,3.40946,3.31641,3.33024
2017/02,3.385626666666667,3.3724233333333333,3.375674581988648,3.33024,3.41718,3.40946,3.42164
