Year/Month,SMA Chicken Price,WMA Chicken Price,EMA Chicken Price,Chicken Price (1 month before),Chicken Price (2 month before),Chicken Price (3 month before),Chicken Price
2013/04,1.4073063333333333,1.4293996666666668,1.41678725,1.479659,1.395161,1.347099,1.40818
2013/05,1.4276666666666669,1.4298365000000002,1.4597496250000002,1.40818,1.479659,1.395161,1.502712
2013/06,1.4635170000000002,1.467359166666667,1.4704928125,1.502712,1.40818,1.479659,1.481236
2013/07,1.4640426666666666,1.4762186666666668,1.49758040625,1.481236,1.502712,1.40818,1.524668
2013/08,1.502872,1.5065313333333332,1.5065972031250001,1.524668,1.481236,1.502712,1.515614
2013/09,1.5071726666666667,1.5129023333333331,1.4746441015625,1.515614,1.524668,1.481236,1.442691
2013/10,1.4943243333333331,1.4806615,1.37736005078125,1.442691,1.515614,1.524668,1.280076
2013/11,1.4127936666666667,1.3735373333333332,1.294663025390625,1.280076,1.442691,1.515614,1.211966
2013/12,1.3115776666666668,1.2731235,1.2993365126953125,1.211966,1.280076,1.442691,1.30401
2014/01,1.2653506666666667,1.2693396666666665,1.3016422563476562,1.30401,1.211966,1.280076,1.303948
2014/02,1.273308,1.2886383333333333,1.3559356281738282,1.303948,1.30401,1.211966,1.410229
2014/03,1.3393956666666667,1.3570988333333334,1.3641818140869142,1.410229,1.303948,1.30401,1.372428
2014/04,1.3622016666666668,1.373615,1.3677549070434571,1.372428,1.410229,1.303948,1.371328
2014/05,1.384661666666667,1.3781781666666666,1.3688949535217285,1.371328,1.372428,1.410229,1.370035
2014/06,1.3712636666666667,1.3708648333333333,1.4385204767608641,1.370035,1.371328,1.372428,1.508146
2014/07,1.4165029999999998,1.439306,1.4495312383804322,1.508146,1.370035,1.371328,1.460542
2014/08,1.4462409999999999,1.4613254999999998,1.4679676191902162,1.460542,1.508146,1.370035,1.486404
2014/09,1.4850306666666668,1.4814070000000001,1.400039809595108,1.486404,1.460542,1.508146,1.332112
2014/10,1.4263526666666666,1.4049476666666667,1.3256414047975542,1.332112,1.486404,1.460542,1.251243
2014/11,1.3565863333333332,1.3173928333333336,1.273371702398777,1.251243,1.332112,1.486404,1.221102
2014/12,1.2681523333333333,1.2496506666666667,1.2603323511993885,1.221102,1.251243,1.332112,1.247293
2015/01,1.2398793333333333,1.239221,1.249861675599694,1.247293,1.221102,1.251243,1.239391
2015/02,1.2359286666666667,1.2389768333333333,1.2628038377998472,1.239391,1.247293,1.221102,1.275746
